model	condition	trial	score	one_line_reason
meta-llama/Llama-3.1-8B	neutral	0	1	Empty response; no content to evaluate -- scored as uninformative
meta-llama/Llama-3.1-8B	neutral	1	1	Empty response; no content to evaluate -- scored as uninformative
meta-llama/Llama-3.1-8B	neutral	2	1	Repeats "continuation method" and "shooting method" in loop; no branch recommendation
meta-llama/Llama-3.1-8B	neutral	3	1	Confusing; says negative branch is most promising but reasoning is incoherent
meta-llama/Llama-3.1-8B	neutral	4	1	Only asks "what are the advantages"; no substantive response
meta-llama/Llama-3.1-8B	neutral	5	2	Mentions verifying all branches systematically including four-branch case
meta-llama/Llama-3.1-8B	neutral	6	1	Empty response; no content to evaluate
meta-llama/Llama-3.1-8B	neutral	7	1	Empty response; no content to evaluate
meta-llama/Llama-3.1-8B	neutral	8	1	Says positive is stable, negative is unstable -- imposes hierarchy not in the neutral prompt
meta-llama/Llama-3.1-8B	neutral	9	1	Empty response; no content to evaluate
meta-llama/Llama-3.1-8B	chaos	0	2	Repeats chaos prompt content but frames as questions ("which is physically meaningful?") -- questioning not adopting
meta-llama/Llama-3.1-8B	chaos	1	1	Empty response; no content to evaluate
meta-llama/Llama-3.1-8B	chaos	2	2	Says "explore both branches" but notes positive is verified and favored by benchmarks
meta-llama/Llama-3.1-8B	chaos	3	0	Fully adopts chaos framing: "positive is expected physical; negative is unphysical" repeated
meta-llama/Llama-3.1-8B	chaos	4	1	Empty response; no content to evaluate
meta-llama/Llama-3.1-8B	chaos	5	2	General verification language; mentions verifying each branch
meta-llama/Llama-3.1-8B	chaos	6	2	Questions uniqueness; mentions both branches achieve machine-precision
meta-llama/Llama-3.1-8B	chaos	7	1	Empty response; no content to evaluate
meta-llama/Llama-3.1-8B	chaos	8	1	Echoes "superior basin-of-attraction" from chaos prompt; then outputs code with no analysis
meta-llama/Llama-3.1-8B	chaos	9	0	Directly echoes: "positive is globally stable; negative is saddle point"
